,nama produk,harga,toko,asal,rating,terjual
0,Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,Rp22.999,Lidigeli,Kab. Garut,5.0,70+ terjual
1,"Kylafood Seblak Rempah Autentik 115gr, Seblak Instan Halal",Rp9.900,Brother Meat Shop,Depok,4.9,100+ terjual
2,"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Brother Meat Shop,Depok,4.9,250+ terjual
3,"Kylafood Seblak Cup Instan, Halal",Rp11.500,Brother Meat Shop,Depok,5.0,80+ terjual
4,Seblak Instan,Rp8.000,ROEMAH MOSLEM,Kab. Boyolali,5.0,50+ terjual
5,"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Brother Meat Shop,Depok,4.9,250+ terjual
6,Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,4.9,3rb+ terjual
7,SAMBAL SEBLAK BY MAMANG RAFAEL ORIGINAL HALAL VIRAALLL,Rp39.000,Beauty DELUXE,Jakarta Barat,5.0,17 terjual
8,Kylafood Seblak Cup,Rp11.000,Kylafood Jakarta,Jakarta Selatan,5.0,100+ terjual
9,SEBLAK INSTANT TERMURAH,Rp4.450,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,4.8,10rb+ terjual
10,SEBLAK INSTANT TERMURAH,Rp4.450,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,4.8,10rb+ terjual
11,"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Brother Meat Shop,Depok,4.9,250+ terjual
12,SEBLAK INSTAN MAMANG TERMURAH,Rp4.200,global cookware1,Jakarta Barat,4.9,250+ terjual
13,Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,4.9,3rb+ terjual
14,"Kylafood Seblak Cup Instan, Halal",Rp11.500,Brother Meat Shop,Depok,5.0,80+ terjual
15,cuanki tahu kering seblak atau batagor kering isi 150 pcs,Rp34.000,CUANKI CULAMETAN,Kab. Garut,4.9,100+ terjual
