index,nama produk,harga,toko,asal,rating,terjual,Jabodetabek
0,Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,22999,Lidigeli,Kab. Garut,5.0,70,non-jabodetabek
1,"Kylafood Seblak Rempah Autentik 115gr, Seblak Instan Halal",9900,Brother Meat Shop,Depok,4.9,100,jabodetabek
2,"Seblak Rafael, Seblak Coet Instan Halal",25000,Brother Meat Shop,Depok,4.9,250,jabodetabek
3,"Kylafood Seblak Cup Instan, Halal",11500,Brother Meat Shop,Depok,5.0,80,jabodetabek
4,Seblak Instan,8000,ROEMAH MOSLEM,Kab. Boyolali,5.0,50,non-jabodetabek
6,Seblak Instan Pedas Home Made,3500,the Dhecip,Tangerang Selatan,4.9,3000,jabodetabek
7,SAMBAL SEBLAK BY MAMANG RAFAEL ORIGINAL HALAL VIRAALLL,39000,Beauty DELUXE,Jakarta Barat,5.0,17,jabodetabek
8,Kylafood Seblak Cup,11000,Kylafood Jakarta,Jakarta Selatan,5.0,100,jabodetabek
9,SEBLAK INSTANT TERMURAH,4450,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,4.8,10000,jabodetabek
12,SEBLAK INSTAN MAMANG TERMURAH,4200,global cookware1,Jakarta Barat,4.9,250,jabodetabek
15,cuanki tahu kering seblak atau batagor kering isi 150 pcs,34000,CUANKI CULAMETAN,Kab. Garut,4.9,100,non-jabodetabek
16,Seblak Ceker Instant | Seblak Ceker Cap Dia Putra | Seblak Ceker,7500,GshoesTreatment,Kab. Bogor,5.0,40,jabodetabek
17,KERUPUK MAWAR KERUPUK BAWANG BUAT SEBLAK RAFAEL - 1/4 kg,7500,Toko Toucan,Malang,5.0,7,non-jabodetabek
18,Seblak Putih Pedas / Kerupuk Bawang Pedas Odjolali Oleh Oleh Bsndung,9000,The Little Snacks,Tangerang Selatan,4.9,1000,jabodetabek
19,seblak instan jawara pedas sehot bandung,13000,cemilan Bandungstore,Cimahi,4.9,60,non-jabodetabek
20,KERUPUK PEDAS KRIWIL BANTAT ISI 250gr KRITING SEMBRING SEBLAK MAWAR,17248,AHR Jaya Snack,Jakarta Timur,5.0,60,jabodetabek
